text,label
Check my emails from John and fetch the budget file from OneDrive.,mixed
Get the last email thread with Anna and upload the project Alpha report to OneDrive.,mixed
Forward the last email from James and also upload the document about sales targets to OneDrive.,mixed
Retrieve the final report for sales targets from OneDrive and send me the related email from Laura.,mixed
Forward the signed document from David and store the project Alpha file in OneDrive.,mixed
Check my emails from Sarah and fetch the budget file from OneDrive.,mixed
Check my emails from Michael and fetch the marketing plan file from OneDrive.,mixed
Get the last email thread with Sarah and upload the financial forecast report to OneDrive.,mixed
Retrieve the final report for employee handbook from OneDrive and send me the related email from John.,mixed
Summarize the conversation with John and attach the related project Alpha file from OneDrive.,mixed
Email me the contract from Laura and also get the invoice list guidelines document from OneDrive.,mixed
Retrieve the final report for sales targets from OneDrive and send me the related email from John.,mixed
Send me the file sales targets.pdf from OneDrive and also forward the last message from Anna.,mixed
Get both the document for project Alpha and the last email from Sarah.,mixed
Summarize the conversation with John and attach the related compliance manual file from OneDrive.,mixed
Check my emails from James and fetch the employee handbook file from OneDrive.,mixed
Get both the document for compliance manual and the last email from Sarah.,mixed
Forward the last email from John and also upload the document about financial forecast to OneDrive.,mixed
Retrieve the final report for contract template from OneDrive and send me the related email from Laura.,mixed
Retrieve the final report for budget from OneDrive and send me the related email from John.,mixed
Summarize the conversation with Sarah and attach the related employee handbook file from OneDrive.,mixed
Send me the file compliance manual.pdf from OneDrive and also forward the last message from James.,mixed
Send me the file compliance manual.pdf from OneDrive and also forward the last message from Emily.,mixed
Check my emails from Emily and fetch the compliance manual file from OneDrive.,mixed
Summarize the conversation with Sarah and attach the related invoice list file from OneDrive.,mixed
Forward the last email from Anna and also upload the document about invoice list to OneDrive.,mixed
Get both the document for financial forecast and the last email from Laura.,mixed
Forward the last email from Laura and also upload the document about employee handbook to OneDrive.,mixed
Retrieve the final report for invoice list from OneDrive and send me the related email from Sarah.,mixed
Send me the email from Sarah and include the quarterly report presentation from OneDrive.,mixed
Forward the signed document from Michael and store the financial forecast file in OneDrive.,mixed
Retrieve the final report for financial forecast from OneDrive and send me the related email from John.,mixed
Send me the email from Anna and include the sales targets presentation from OneDrive.,mixed
Send me the email from Anna and include the quarterly report presentation from OneDrive.,mixed
Send me the email from James and include the marketing plan presentation from OneDrive.,mixed
Email me the contract from Laura and also get the contract template guidelines document from OneDrive.,mixed
Send me the email from David and include the budget presentation from OneDrive.,mixed
Email me the contract from David and also get the sales targets guidelines document from OneDrive.,mixed
Send me the file financial forecast.pdf from OneDrive and also forward the last message from Michael.,mixed
Show me the daily sales numbers for 2023.,data
How many employees were hired in Q1 2024?,data
Retrieve average ticket size by sales team.,data
Get me the list of overdue invoices as of Q2 2024.,data
What was our total revenue for April?,data
Show product return rates for 2023.,data
Retrieve average ticket size by sales team.,data
Find me the monthly expenses for April.,data
How many employees were hired in this week?,data
Retrieve average ticket size by region.,data
Provide the year-over-year growth for customer segment.,data
Get the customer churn rate for 2024.,data
Retrieve average ticket size by product line.,data
Get me the list of overdue invoices as of May.,data
Provide the year-over-year growth for product line.,data
Show product return rates for 2024.,data
List the number of new customers in Q2 2024.,data
Find me the monthly expenses for Q1 2024.,data
Get the customer churn rate for April.,data
Show product return rates for 2024.,data
Get me the list of overdue invoices as of 2023.,data
Get me the list of overdue invoices as of April.,data
List the number of new customers in last month.,data
Get me the list of overdue invoices as of this week.,data
Get the customer churn rate for 2024.,data
Find me the monthly expenses for this week.,data
How many employees were hired in Q1 2024?,data
Show product return rates for Q2 2024.,data
What was our total revenue for 2024?,data
Find me the monthly expenses for Q2 2024.,data
Get the customer churn rate for April.,data
Find me the monthly expenses for 2023.,data
List the number of new customers in this week.,data
Get the customer churn rate for April.,data
Show product return rates for Q2 2024.,data
Show me the daily sales numbers for May.,data
Find me the monthly expenses for last month.,data
Get me the list of overdue invoices as of last month.,data
How many employees were hired in Q2 2024?,data
How many employees were hired in May?,data
How many employees were hired in April?,data
Provide the year-over-year growth for region.,data
Show me the daily sales numbers for 2024.,data
What was our total revenue for 2023?,data
Find me the monthly expenses for Q1 2024.,data
Get me the list of overdue invoices as of 2023.,data
Show product return rates for Q1 2024.,data
Show product return rates for Q2 2024.,data
Get me the list of overdue invoices as of this week.,data
How many employees were hired in Q2 2024?,data
